"filename", "language", "TypeScript", "Markdown", "JSON with Comments", "Shell Script", "JSON", "XML", "SQLite", "JavaScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/home/allopze/dev/chome/bodega/app/(app)/admin/productos/product-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 190, 0, 2, 15, 207
"/home/allopze/dev/chome/bodega/app/(app)/admin/proveedores/actions.ts", "TypeScript", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 119
"/home/allopze/dev/chome/bodega/app/(app)/admin/proveedores/loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 2, 21
"/home/allopze/dev/chome/bodega/app/(app)/admin/proveedores/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 5, 38
"/home/allopze/dev/chome/bodega/app/(app)/admin/proveedores/supplier-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 1, 17, 118
"/home/allopze/dev/chome/bodega/app/(app)/admin/proveedores/supplier-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 8, 100
"/home/allopze/dev/chome/bodega/app/(app)/admin/trabajadores/actions.ts", "TypeScript", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 132
"/home/allopze/dev/chome/bodega/app/(app)/admin/trabajadores/loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 2, 21
"/home/allopze/dev/chome/bodega/app/(app)/admin/trabajadores/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 5, 55
"/home/allopze/dev/chome/bodega/app/(app)/admin/trabajadores/worker-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 132, 0, 1, 15, 148
"/home/allopze/dev/chome/bodega/app/(app)/admin/trabajadores/worker-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 9, 132
"/home/allopze/dev/chome/bodega/app/(app)/admin/usuarios/actions.ts", "TypeScript", 256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 44, 311
"/home/allopze/dev/chome/bodega/app/(app)/admin/usuarios/loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 2, 21
"/home/allopze/dev/chome/bodega/app/(app)/admin/usuarios/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 5, 9, 80
"/home/allopze/dev/chome/bodega/app/(app)/admin/usuarios/user-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 270, 0, 9, 27, 306
"/home/allopze/dev/chome/bodega/app/(app)/admin/usuarios/user-invite-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 1, 17, 218
"/home/allopze/dev/chome/bodega/app/(app)/admin/usuarios/user-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 155, 0, 6, 10, 171
"/home/allopze/dev/chome/bodega/app/(app)/aprobaciones/actions.ts", "TypeScript", 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 35, 227
"/home/allopze/dev/chome/bodega/app/(app)/aprobaciones/approval-panel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 368, 0, 20, 36, 424
"/home/allopze/dev/chome/bodega/app/(app)/aprobaciones/loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 20
"/home/allopze/dev/chome/bodega/app/(app)/aprobaciones/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 174, 0, 7, 19, 200
